****************************
RPMD potential of mean force
****************************

Temperature                             = 300 K
Lower bound of reaction coordinate      = -0.099987
Upper bound of reaction coordinate      = 1.19999
Number of bins                          = 49999

=========== ===============
Rxn coord   PMF (eV)
=========== ===============
-0.09998700  0.0000157888
-0.09996100  0.0000160328
-0.09993500  0.0000162720
-0.09990900  0.0000165064
-0.09988300  0.0000167361
-0.09985700  0.0000169610
-0.09983100  0.0000171812
-0.09980500  0.0000173967
-0.09977900  0.0000176074
-0.09975300  0.0000178134
-0.09972699  0.0000180146
-0.09970099  0.0000182112
-0.09967499  0.0000184030
-0.09964899  0.0000185902
-0.09962299  0.0000187726
-0.09959699  0.0000189503
-0.09957099  0.0000191234
-0.09954499  0.0000192917
-0.09951899  0.0000194554
-0.09949299  0.0000196144
-0.09946699  0.0000197688
-0.09944099  0.0000199185
-0.09941499  0.0000200636
-0.09938899  0.0000202041
-0.09936299  0.0000203399
-0.09933699  0.0000204711
-0.09931099  0.0000205978
-0.09928499  0.0000207198
-0.09925899  0.0000208373
-0.09923298  0.0000209502
-0.09920698  0.0000210585
-0.09918098  0.0000211624
-0.09915498  0.0000212617
-0.09912898  0.0000213564
-0.09910298  0.0000214467
-0.09907698  0.0000215325
-0.09905098  0.0000216139
-0.09902498  0.0000216908
-0.09899898  0.0000217632
-0.09897298  0.0000218312
-0.09894698  0.0000218948
-0.09892098  0.0000219541
-0.09889498  0.0000220089
-0.09886898  0.0000220594
-0.09884298  0.0000221056
-0.09881698  0.0000221475
-0.09879098  0.0000221850
-0.09876498  0.0000222183
-0.09873897  0.0000222473
-0.09871297  0.0000222721
-0.09868697  0.0000222927
-0.09866097  0.0000223091
-0.09863497  0.0000223213
-0.09860897  0.0000223293
-0.09858297  0.0000223333
-0.09855697  0.0000223331
-0.09853097  0.0000223288
-0.09850497  0.0000223205
-0.09847897  0.0000223082
-0.09845297  0.0000222918
-0.09842697  0.0000222715
-0.09840097  0.0000222472
-0.09837497  0.0000222189
-0.09834897  0.0000221868
-0.09832297  0.0000221508
-0.09829697  0.0000221110
-0.09827097  0.0000220673
-0.09824496  0.0000220198
-0.09821896  0.0000219686
-0.09819296  0.0000219137
-0.09816696  0.0000218550
-0.09814096  0.0000217927
-0.09811496  0.0000217268
-0.09808896  0.0000216573
-0.09806296  0.0000215841
-0.09803696  0.0000215075
-0.09801096  0.0000214273
-0.09798496  0.0000213437
-0.09795896  0.0000212566
-0.09793296  0.0000211661
-0.09790696  0.0000210723
-0.09788096  0.0000209752
-0.09785496  0.0000208747
-0.09782896  0.0000207710
-0.09780296  0.0000206641
-0.09777696  0.0000205540
-0.09775096  0.0000204407
-0.09772495  0.0000203244
-0.09769895  0.0000202050
-0.09767295  0.0000200826
-0.09764695  0.0000199572
-0.09762095  0.0000198288
-0.09759495  0.0000196976
-0.09756895  0.0000195635
-0.09754295  0.0000194266
-0.09751695  0.0000192870
-0.09749095  0.0000191446
-0.09746495  0.0000189995
-0.09743895  0.0000188518
-0.09741295  0.0000187016
