**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.03000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -3006.50958307     93.64158825      100000    -3.00651e-02     3.25059e-05
 -6014.01017595    187.68708042      200000    -3.00701e-02     3.42274e-05
 -9021.89775092    281.49955544      300000    -3.00730e-02     3.39470e-05
-12026.27369265    375.14372677      400000    -3.00657e-02     3.39139e-05
-15033.58488122    468.74353761      500000    -3.00672e-02     3.34524e-05
-18039.72487740    562.26935207      600000    -3.00662e-02     3.31387e-05
-21045.38470355    655.98690417      700000    -3.00648e-02     3.32298e-05
-24051.55782006    749.87300066      800000    -3.00644e-02     3.34703e-05
-27057.10684585    843.16803141      900000    -3.00635e-02     3.30422e-05
-30061.52989318    937.11967160     1000000    -3.00615e-02     3.34241e-05
-33069.03860284   1030.56104282     1100000    -3.00628e-02     3.31040e-05
-36078.02928153   1124.02649045     1200000    -3.00650e-02     3.27830e-05
-39084.06452957   1217.82145080     1300000    -3.00647e-02     3.29016e-05
-42092.29696844   1311.34284145     1400000    -3.00659e-02     3.27135e-05
-45100.72633717   1405.41345294     1500000    -3.00672e-02     3.29087e-05
-48108.68879759   1499.19650696     1600000    -3.00679e-02     3.29174e-05
-51114.73239131   1592.48218598     1700000    -3.00675e-02     3.27003e-05
-54120.88457880   1685.68423786     1800000    -3.00672e-02     3.24572e-05
-57128.74340861   1779.00890330     1900000    -3.00678e-02     3.22503e-05
-60134.76713379   1872.64170230     2000000    -3.00674e-02     3.22733e-05
