      100000    -5004.9916302676      253.1519914468   -5.00499163e-02    2.65257926e-05  |       -109.25819944       -107.49962887         84.26580997        143.64251289      1.20408694e+02  |       -107.60972285       -108.10916420       -104.82775144       -108.52078449       -106.32696620       -109.48008646       -109.07017250       -109.31215143       -109.49746041       -109.49568674       -109.46100528       -109.13618050       -109.03791896       -106.04569199       -108.19721682        -98.47412134       -102.63404288        -99.72013137       -108.76402781       -108.60626330       -109.19839402       -109.39384250       -107.77553399       -109.42078019       -106.34235756       -105.17536873       -109.41984302       -109.49727227       -108.69209820       -107.62008901       -109.28902027       -105.83697706
      200000    -5006.9367128751      254.1185665663   -5.00693671e-02    3.42441410e-05  |       -109.19354583       -106.84602477         91.07250780        144.37720201      1.28603685e+02  |       -108.76182077       -107.31501977       -105.95811741       -109.36242776       -109.49517432       -109.25995089       -109.48678632       -101.12562143       -106.97759123       -108.78411023       -108.68144143       -108.20878924       -108.83685124       -101.26107237       -109.14572151       -107.17893925       -106.38124140       -109.10556237       -105.56860896        -98.12309102       -108.60592846       -108.64894200       -109.35968547       -106.80380938       -107.87512380       -109.42260639       -107.96142946       -103.38497659       -105.20541913       -108.37541602        -98.63794151       -105.77357551
      300000    -5007.2868835443      253.4597289127   -5.00728688e-02    2.73050957e-05  |       -109.25077881       -106.75081308         94.45666020        116.78160690      1.04487454e+02  |       -109.48674289        -94.26205715       -101.95884406       -108.20052152       -105.91374515       -109.49396615       -109.38227782       -108.82771737       -107.55800432       -109.42028250       -109.14311385       -109.49191206       -107.86834863        -93.36525694       -107.61194466       -101.23157708       -107.02131348       -107.57621576       -109.18158725       -106.97405563       -108.48683822       -109.26597905       -108.50151765       -109.16511193       -109.46243155       -105.43658998       -109.37359566       -109.14331539       -109.49515057       -109.44471721        -98.07668551       -106.20460149
      400000    -5006.6742593292      253.8777867326   -5.00667426e-02    3.20991534e-05  |       -109.49689911       -105.69594202         86.20452991        130.12162616      1.10630214e+02  |       -108.93002136        -78.04232476       -108.12118042       -106.49896179       -107.41724858       -108.25292793       -109.01323517       -106.78779907       -106.35448567       -108.40519715       -105.08415001       -108.94937032       -103.85008060       -109.05698420       -108.40764154       -109.27940466       -107.89747815        -96.61909969       -105.87523158       -107.45415193       -108.43588933        -98.74876887       -102.67695158       -108.58236561       -109.16088264       -108.89868064       -109.46365856       -106.89516461       -106.80664446       -109.49457209       -107.58147996        -95.22811185
      500000    -5008.4725758674      254.0724876727   -5.00847258e-02    3.22451224e-05  |       -109.26311739       -107.23319837         91.48331261        136.02001167      1.20270126e+02  |        -92.54542071       -108.63329641       -109.46084527       -109.49157003       -108.95630050       -104.88363199       -107.62715492       -100.62485615       -109.38416559       -109.46118230       -108.69723425       -109.49201640       -109.37396992       -100.95548560       -107.39119227       -109.41340602       -109.41361064       -109.48794219       -109.45779105       -108.78367704       -108.52185597       -108.68363699       -108.26114256       -109.38808679       -105.57532664       -109.37399255        -99.99654509       -109.25428741       -109.49637479       -109.08448976       -101.28328570       -109.00857431
      600000    -5006.0205210345      253.4588535549   -5.00602052e-02    2.85643898e-05  |       -109.46320772       -107.04831829         81.85980337        150.99528906      1.25806774e+02  |       -108.28292360       -108.84937910       -106.57965947        -95.26879503       -108.87147112       -109.05132127       -108.78625188       -109.40841416       -104.36849472       -108.36781288       -109.42346871       -108.93479389       -109.41231597       -108.93295700       -107.79349295       -107.93507658       -108.14335125       -108.49837877       -109.45922109       -107.84366101       -105.69211684       -109.06144719       -108.23397812       -105.49095688       -103.15609269       -108.66322265       -106.40376550       -109.29760306       -108.84871411        -94.80448587       -102.29412277       -109.38843923
      700000    -5006.2544672945      253.8189940294   -5.00625447e-02    3.19315612e-05  |       -109.22750634       -105.25067224         82.65401860        136.03080527      1.13434152e+02  |       -108.18705802       -109.20838881       -104.74175431       -109.13309053       -109.12290068       -107.53757414       -100.73480051        -97.05649379       -103.35895533        -98.09134035       -108.80500359       -104.91242146       -108.43187831       -106.66037041       -108.98049030       -107.17991674        -98.11565901       -106.12695365       -106.10116774       -107.15003207       -106.79803522       -108.45120574       -108.30985645       -105.12415912        -92.79087304        -99.95964945        -97.76560650       -109.43298694       -108.90565347       -105.86793515       -107.00613403       -107.97316668
      800000    -5010.0491115394      254.3563572516   -5.01004911e-02    3.35043625e-05  |       -109.48712037       -107.62069491         83.86615952        146.72204818      1.22967513e+02  |        -95.74061491       -106.87709217       -107.26462117       -107.50536397       -108.87945230       -107.83798129       -109.27754658       -105.41130641       -108.68223813       -109.46644799       -108.19151293       -108.38445373       -108.68629265       -107.61789086       -108.64342750       -107.85756180       -109.31142192       -109.39932409       -108.68984493       -108.71157057       -108.89284204       -109.01203666       -107.05517853       -109.38744042       -104.99408251       -109.48725141       -106.42597622       -109.35233438       -108.48822019       -106.91112598       -101.99540759       -109.42437540
      900000    -5004.4799419851      253.5649062229   -5.00447994e-02    3.11671133e-05  |       -109.49753860       -105.79149913         76.53362163        147.55545998      1.18297582e+02  |       -101.33998427       -107.13031833       -107.13006933       -108.27782836       -108.65512261       -104.04316409       -108.94632110       -109.48259339       -100.29156252       -103.41044549       -109.21124334       -108.62375495       -108.06295058       -101.47044363        -97.72883476       -109.44234689       -107.78961958       -100.74587052       -101.90099017        -94.72023310       -109.23619365       -109.09599896       -109.49765174       -100.63914387       -108.44944181       -107.16144996       -109.49587605       -107.95224261       -104.11913448       -105.93664766       -107.57850266       -107.76199172
     1000000    -5002.1382730701      253.5180609331   -5.00213827e-02    3.30418790e-05  |       -108.94414903       -107.56989384         88.33936867        124.86121856      1.05630693e+02  |       -109.49609973       -103.29207044       -109.46573916       -109.38252810       -109.06238628       -107.89773461       -106.78342879       -107.33328808       -109.21418187       -106.58170875       -107.81900510       -109.26534128       -109.22948190       -109.45192528       -103.45751612       -107.95344229       -104.86520480       -104.19965524       -104.71549399       -109.49736856       -108.29686562       -105.33750541       -109.48861983       -106.66610588       -109.16837742       -109.12860985       -109.41791145       -109.46418509       -107.61939566       -109.47616700        -99.79439969       -109.41485963
