**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.15000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 14995.97634135   2251.54471070      100000     1.49960e-01     2.75165e-05
 29990.59838860   4503.00182252      200000     1.49953e-01     2.91093e-05
 44986.09636255   6754.80178068      300000     1.49954e-01     2.99074e-05
 59979.59832148   9006.21582728      400000     1.49949e-01     3.08382e-05
 74972.17034966  11257.33368790      500000     1.49944e-01     3.13621e-05
 89967.67983315  13509.45663905      600000     1.49946e-01     3.19182e-05
104963.38190071  15761.38120739      700000     1.49948e-01     3.19496e-05
119956.41878168  18012.04101701      800000     1.49946e-01     3.13913e-05
134950.03165535  20262.98183721      900000     1.49944e-01     3.10773e-05
149941.78500545  22513.26295698     1000000     1.49942e-01     3.07241e-05
164934.67772258  24764.33413864     1100000     1.49941e-01     3.08427e-05
179930.60486484  27016.62379972     1200000     1.49942e-01     3.11986e-05
194925.05819737  29267.73751148     1300000     1.49942e-01     3.09352e-05
209919.42018084  31519.12471723     1400000     1.49942e-01     3.09243e-05
224918.50778656  33772.29130970     1500000     1.49946e-01     3.11564e-05
239909.60826334  36023.11597629     1600000     1.49944e-01     3.13927e-05
254904.31218673  38274.81708742     1700000     1.49944e-01     3.14812e-05
269897.83109547  40526.10775022     1800000     1.49943e-01     3.15292e-05
284895.87062465  42778.61088001     1900000     1.49945e-01     3.14968e-05
299890.50952823  45030.01636796     2000000     1.49945e-01     3.14288e-05
