**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.30000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 29995.49806512   8999.94290121      100000     2.99955e-01     2.64386e-05
 59988.31401477  17998.66225553      200000     2.99942e-01     2.83658e-05
 89981.31647200  26997.84317148      300000     2.99938e-01     3.01737e-05
119977.33043497  35998.07546196      400000     2.99943e-01     2.91898e-05
149973.99947799  44999.17379060      500000     2.99948e-01     2.95455e-05
179968.59016844  53998.88835091      600000     2.99948e-01     2.95543e-05
209959.52090820  62996.32315701      700000     2.99942e-01     2.94404e-05
239955.97740013  71997.99114302      800000     2.99945e-01     3.05029e-05
269950.24506951  80997.41971312      900000     2.99945e-01     3.02999e-05
299945.04302961  89997.48955220     1000000     2.99945e-01     3.04607e-05
329940.40472872  98997.87489470     1100000     2.99946e-01     3.05717e-05
359932.20896085 107996.10607086     1200000     2.99944e-01     3.06474e-05
389928.50736649 116997.29065975     1300000     2.99945e-01     3.09095e-05
419919.95186845 125995.19222575     1400000     2.99943e-01     3.08689e-05
449912.46884335 134994.24906596     1500000     2.99942e-01     3.11751e-05
479905.94069238 143993.25394427     1600000     2.99941e-01     3.10525e-05
509901.23085636 152993.43848648     1700000     2.99942e-01     3.09966e-05
539895.42716094 161993.41916971     1800000     2.99942e-01     3.11982e-05
569887.24799120 170991.33519726     1900000     2.99941e-01     3.10420e-05
599880.24704816 179990.18863490     2000000     2.99940e-01     3.10166e-05
