      100000    43994.0126604517    19357.5731159918    4.39940127e-01    2.84161631e-05  |       -109.41293307       -107.11594887         80.12490080         83.52347665      5.65324286e+01  |       -108.11815347       -108.98381164       -109.38393552       -109.20196757       -105.59152268       -105.70544419       -108.70237625       -104.64947691       -107.38175014       -105.82943680       -108.29774098       -104.71327224       -109.10973526       -109.07974631       -106.26562467        -99.14462089       -106.58881091       -109.24658699       -108.81665821       -109.27273074       -107.61313801       -107.59367395       -109.10560356       -108.86050303        -96.59606065       -108.13408476       -104.13307685       -106.69033056       -107.37636512       -109.39983181       -108.68760707       -109.43668618
      200000    43989.1807377414    19353.6959403905    4.39891807e-01    3.21572061e-05  |       -109.49779375       -105.99107078         81.33079747        144.83087706      1.20170604e+02  |       -109.44434628       -109.13390300       -106.04152872       -102.11326970       -107.78983761        -91.40690365       -100.89435301       -104.51916517       -107.70262986       -109.41336629       -108.85866562       -109.49722255       -105.99479736       -108.98317517       -107.10998394       -108.43997279        -97.63492151       -106.13448112       -109.49275695       -108.60913238       -109.21566409       -107.16043716       -106.27142912       -108.22678564       -106.21739108       -109.36413428       -102.01052681        -92.59810230       -106.65116459       -106.29820000       -109.44206923       -109.04394791
      300000    43991.5768344987    19355.4525672436    4.39915768e-01    2.86424339e-05  |       -108.94112689       -107.23929474         81.98350396        142.39013049      1.17134340e+02  |       -107.75952924       -107.95159814       -108.53826432       -107.63083731       -103.27520099       -108.98386570        -98.05571837       -104.63951705       -107.89030239       -108.14269298       -102.02197575       -109.49620246       -109.38003341       -103.72411893       -108.54621457       -109.40740538       -108.74719650       -104.09347787       -109.23490237       -109.24678794       -109.49620701       -106.78424237       -108.57522013       -109.25718851       -105.38153551       -105.16080012       -108.63038334       -109.49189061       -109.48393734       -107.25025564       -109.02966398       -106.35026533
      400000    43990.4684715316    19354.8677321335    4.39904685e-01    3.25456869e-05  |       -108.84808471       -107.30898011         95.49149969        127.80923869      1.15991758e+02  |       -109.49374670       -107.93354636       -108.64426686       -108.62500839       -108.71652813       -109.00346075        -84.63845306       -109.49373301       -109.47125013       -106.45565103       -108.80185277       -109.48800202       -109.00188929       -109.15719700       -107.03688162       -105.51239499       -108.55725324       -109.08231374       -106.76307313       -107.79132809       -109.12298777       -108.85531902       -105.92481387       -109.44236846       -109.30288207       -109.34722239       -106.11277679       -106.32145908       -109.49233344       -101.03002691       -109.07859180       -106.18875156
      500000    43993.0809194452    19357.3102397005    4.39930809e-01    3.39855185e-05  |       -109.32798116       -106.62392900         86.90112909        127.91835332      1.08195553e+02  |       -109.48076509       -109.26421133       -107.82686815       -105.50358206       -109.25455502       -103.58521578       -106.56318226       -108.31356475       -109.15645898       -107.62061342       -107.04866496       -109.15796225        -96.48949216       -101.46622833       -106.75494983       -103.24430794       -102.63008043       -100.92859339       -106.15462979       -108.84141633       -105.02921321       -108.18826367       -106.44729550       -109.38997723       -109.31177810       -104.52638324       -106.97426140       -109.41440826       -107.60160410       -109.47265463       -107.63527554       -108.68927102
      600000    43992.2941011237    19356.6505748352    4.39922941e-01    3.43117204e-05  |       -109.49710983       -106.97843464         90.62038559        142.41840541      1.26060356e+02  |       -108.98565763       -108.42708758       -109.19144497       -108.19740618       -100.98244920       -109.47983156       -107.23739369       -105.04792141       -102.84732644       -101.74615892       -109.31801273       -109.13457372       -106.49853041       -108.79019433       -108.11139282       -108.92701556       -109.34630698       -109.12518365       -108.86451457       -100.73095077       -109.05722723       -101.22439146       -108.30683815       -103.73799087       -108.83251406       -106.38850984       -108.22301901       -108.50618153       -106.72167035       -109.10339905       -108.32999833       -103.88881545
      700000    43991.0822499447    19355.1797564747    4.39910822e-01    3.02658126e-05  |       -109.43173695       -107.17030009         78.68310857        126.42585529      9.79386638e+01  |        -98.15988768       -107.16186854       -109.31708057       -107.61173510       -101.94767037       -106.05612109       -109.41233270       -109.38241699       -106.95280556       -101.58578697       -105.30227325       -109.46343301       -109.47318215       -108.86361046       -107.65766850       -109.12146783       -107.17865486       -109.22286834       -106.27418774       -105.96656144       -106.90022562       -108.39798108       -108.40657476       -109.43460014       -104.84273171       -105.08838001       -107.86564313       -109.29425041       -108.66182754       -109.05132780       -108.41252544       -106.98192197
      800000    43991.4593103354    19356.1327185272    4.39914593e-01    3.64779600e-05  |       -109.16536422       -107.23026928         82.52959265        121.84405731      9.71433807e+01  |       -109.45642539       -106.22153978       -105.51490635       -104.46407101       -106.46679095       -108.97074476       -109.43834265       -109.39331580       -104.84787698       -108.18837401       -103.05830073       -109.11455666       -108.65951121       -106.71905599       -108.54220453       -106.90827050        -97.78769334       -108.20360839       -105.84979266       -103.27201122       -107.52231115       -108.59337385       -105.50455558       -108.41669438       -109.40522701       -109.21279639       -109.00786354       -108.15457726       -109.30193449       -107.51252860       -108.74920417       -108.91015759
      900000    43991.8690564615    19356.1085341578    4.39918691e-01    3.26310335e-05  |       -108.42907876       -106.33760182         78.75800744        139.92565959      1.12346065e+02  |       -103.84445666       -106.42425824       -107.32777153       -109.23507709       -104.75389949       -108.46848426       -108.54833931       -109.05812500       -109.11891081       -103.48952014       -102.35082845       -103.37349506       -106.35212081       -106.11853291       -106.72279093       -106.53208298       -107.29875151       -106.40452778       -108.48433992       -108.47821887       -102.71234614       -109.49061579        -95.71297940       -106.20770842       -107.45851010       -109.18849090       -108.17733564       -100.49986646       -107.69957407       -106.90125494       -109.39882314       -106.97122149
     1000000    43994.6109955404    19358.2638844026    4.39946110e-01    3.00591791e-05  |       -109.21884938       -107.44662739        108.71410148        162.79797769      1.64065452e+02  |       -108.53464782       -102.87875648       -108.78835301       -108.43684391       -107.33352097       -109.25532115        -92.92077965       -108.46857488       -109.38722381       -109.21750020       -105.46466211       -107.92607981       -106.54849816       -109.00615741       -109.10456239       -106.77273828       -109.46819759       -109.49068668       -107.16262071       -106.14972703       -108.98803472       -109.39705330       -109.49344321       -109.21509141       -109.46750174       -109.30178939        -98.48584721       -107.97505658       -108.32253073       -109.39122506       -109.41392318       -106.52512784
